Time;[11:7];[23:228];[30.5];[31:115];[32:15];[32:24];[32:77];[32:124];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345];[34.275];[37:11];[37:12];[37:13];[37:14];[37:15];[37:16];[37:27];[37:34]
time;Banddicke;MON Verzinnungsstation Pd;OFI Start;Verzinnungsstation_ Temp. Zinnbad Sollwert;Laufprogramm Istwerte Zug / Abhaspel Istzug absolut [N];Laufprogramm Istwerte Zug / Verzinnung Istzug absolut [N];Laufprogramm Istwerte Abstreifer US / Istposition;Laufprogramm Istwerte Bandgeschwindigkeit / Sollwert [m/min];Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Temperatur unter der Zinnbadrolle 2 (WSP);Reglerausgang Y-Out (WSP);P-Anteil von Y-Out (WSP);I-Anteil von Y-Out (WSP);D-Anteil von Y-Out (WSP);Wirksame Soll-Temperatur (WSP);MON Sicherheit Schallschutzkabine Hubtor geöffnet;DB912_Istwerte\reP-Anteil_YOUT_Wanne;DB912_Istwerte\reI-Anteil_YOUT_Wanne;DB912_Istwerte\reD-Anteil_YOUT_Wanne;DB912_Istwerte\reP-Anteil_YOUT_Rolle;DB912_Istwerte\reI-Anteil_YOUT_Rolle;DB912_Istwerte\reD-Anteil_YOUT_Rolle;DB912_Istwerte\RCV.reV_Ist;DB912_Istwerte\reWirksameSolltemperaturWanneInnen
0;0,5;7;0;270,1;1062,32;232,231;28,6;0;281,337;273,9;270,04;269,8;2,08216;0;5,78997;0,000139328;270,1;0;-0,740149;2,82098;0;0;5,78997;0,000129256;0;280,89
1;0,5;7;0;270,1;1153,03;233,081;28,6;0;281,272;273,9;270,035;269,8;2,26877;0;5,78997;8,23998e-05;270,1;0;-0,544867;2,81364;0;0;5,78997;8,23998e-05;0;280,89
2;0,5;7;0;270,1;1236,01;233,789;28,6;0;281,207;273,8;270,032;269,8;2,26323;0;5,78997;5,25294e-05;270,1;0;-0,349768;2,80744;0;0;5,78997;4,87321e-05;0;280,89
3;0,5;7;0;270,1;1301,69;234,399;28,6;0;281,142;273,8;270,031;269,8;2,64984;0;5,78997;3,10664e-05;270,1;0;-0,154486;2,80407;0;0;5,78997;2,88206e-05;0;280,89
4;0,5;7;0;270,1;1350,67;234,998;28,6;0;281,076;273,8;270,03;269,8;2,80371;0;5,78997;1,8373e-05;270,1;0;0;2,80371;0;0;5,78997;1,8373e-05;0;280,89
5;0,5;8;0;270,1;1391,63;235,396;28,6;0;281,033;273,9;270,029;269,9;2,80371;0;5,78997;1,17126e-05;270,1;0;0;2,80371;0;0;5,78997;1,08659e-05;0;280,89
6;0,5;11;0;270,1;1423,48;235,533;28,6;0;280,968;274;270,028;269,9;2,80371;0;5,78997;6,92697e-06;270,1;0;0;2,80371;0;0;5,78997;6,42622e-06;0;280,89
7;0,5;11;0;270,1;1448,28;235,606;28,6;0;280,924;274,1;270,027;269,9;2,80371;0;5,78997;4,09668e-06;270,1;0;0;2,80371;0;0;5,78997;4,09668e-06;0;280,89
8;0,5;11;0;270,1;1466,1;235,777;28,6;0;280,903;274,2;270,026;269,9;2,80371;0;5,78997;2,61161e-06;270,1;0;0;2,80371;0;0;5,78997;2,42281e-06;0;280,89
9;0,5;12;0;270,1;1482,37;235,833;28,6;0;280,773;274,4;270,026;269,9;2,80371;0;5,78997;1,66488e-06;270,1;0;0;2,80371;0;0;5,78997;1,43288e-06;0;280,89
10;0,5;11;0;270,1;1498,67;235,732;28,6;0;280,686;274,5;270,025;269,9;2,81641;0;5,78997;9,84627e-07;270,1;0;0,0126709;2,80376;0;0;5,78997;9,13449e-07;0;280,89
11;0,5;12;0;270,1;1510,81;234,955;28,534;0;280,621;274,5;270,028;270;2,88186;0;5,78997;5,82318e-07;270,1;0;0,207953;2,80433;0;0;5,78997;5,40223e-07;0;280,89
12;0,5;11;0;270,1;1520,89;232,933;27,082;0;280,686;274,4;270,03;270;2,81825;0;5,78997;3,71224e-07;270,1;0;0,0126709;2,8056;0;0;5,78997;3,44388e-07;0;280,89
13;0,5;12;0;270,1;1535,3;269,551;23,618;0;280,642;274,4;270,032;270;2,94906;0;5,78997;2,19545e-07;270,1;0;0,142859;2,80644;0;0;5,78997;2,03675e-07;0;280,89
14;0,5;11;0;270,1;1588,88;553,275;18,914;0;280,642;274,3;270,036;270;2,9504;0;5,78997;1,29841e-07;270,1;0;0,207953;2,80784;0;0;5,78997;1,20455e-07;0;280,89
15;0,5;12;0;270,1;1645,3;907,197;14,303;0;280,664;274,3;270,041;270,1;2,88703;0;5,78997;7,67894e-08;270,1;0;0,0777649;2,8094;0;0;5,78997;7,12384e-08;0;280,89
16;0,5;11;0;270,1;1688,59;1200,04;13,288;0;280,621;274,2;270,046;270,1;3,01941;0;5,78997;4,89528e-08;270,1;0;0,403235;2,81196;0;0;5,78997;4,5414e-08;0;280,89
17;0,5;11;0;270,1;1721,15;1429,51;13,286;0;280,556;274,2;270,054;270,1;3,21869;0;5,78997;2,89511e-08;270,1;0;0,338232;2,81607;0;0;5,78997;2,68583e-08;0;280,89
18;0,5;12;0;270,1;1749,91;1639,84;13,286;0;280,534;274,3;270,063;270,2;3,48286;0;5,78997;1,84562e-08;270,1;0;0,46842;2,82089;0;0;5,78997;1,58842e-08;0;280,89
19;0,5;11;0;270,1;1770,99;1805,54;13,286;0;280,534;274,3;270,071;270,2;3,29354;0;5,78997;1,09152e-08;270,1;0;0,46842;2,8259;0;0;5,78997;1,01261e-08;0;280,89
20;0,5;14;0;270,1;1786,07;1936,58;13,286;0;280,556;274,3;270,08;270,3;3,23419;0;5,78997;6,45533e-09;270,1;0;0,403235;2,83163;0;0;5,78997;5,98868e-09;0;280,89
21;0,5;14;0;270,1;1794,22;2025,33;13,286;0;280,469;274,3;270,091;270,3;3,5011;0;5,78997;3,81774e-09;270,1;0;0,663702;2,83851;0;0;5,78997;3,54176e-09;0;280,89
22;0,5;16;0;270,1;1801,14;2107,23;13,286;0;280,404;274,2;270,103;270,3;3,50774;0;5,78997;2,43379e-09;270,1;0;0,859076;2,84531;0;0;5,78997;2,25785e-09;0;280,89
23;0,5;16;0;270,1;1807,85;2187,97;13,286;0;280,469;274,2;270,114;270,4;3,51592;0;5,78997;1,43936e-09;270,1;0;0,663702;2,85332;0;0;5,78997;1,33531e-09;0;280,89
24;0,5;16;0;270,1;1814,54;2263,77;13,286;0;280,447;274,1;270,128;270,4;3,5887;0;5,78997;8,51254e-10;270,1;0;0,728796;2,8599;0;0;5,78997;8,51254e-10;0;280,89
25;0,5;16;0;270,1;1817,01;2315,65;13,286;0;280,469;274,1;270,139;270,4;3,5303;0;5,78997;5,42669e-10;270,1;0;0,663702;2,8677;0;0;5,78997;5,0344e-10;0;280,89
26;0,5;16;0;270,1;1821,02;2372,81;13,286;0;280,447;274,1;270,153;270,5;3,60308;0;5,78997;3,2094e-10;270,1;0;0,728796;2,8755;0;0;5,78997;2,97739e-10;0;280,89
27;0,5;16;0;270,1;1826,88;2437,81;13,286;0;280,425;274,1;270,169;270,5;3,67586;0;5,78997;1,89807e-10;270,1;0;0,598608;2,88313;0;0;5,78997;1,76086e-10;0;280,89
28;0,5;16;0;270,1;1827,35;2472,39;13,286;0;280,469;274,2;270,184;270,6;3,55253;0;5,78997;1,21001e-10;270,1;0;0,663702;2,88993;0;0;5,78997;1,12254e-10;0;280,89
29;0,5;16;0;270,1;1832;2530,66;13,286;0;280,534;274,2;270,196;270,6;3,36396;0;5,78997;7,1561e-11;270,1;0;0,663702;2,89648;0;0;5,78997;6,63879e-11;0;280,89
30;0,5;16;0;270,1;1832,36;2566,27;13,286;0;280,49;274,1;270,213;270,6;2,90032;-0,0526367;5,78984;-0,216478;270,1;0;0;2,90032;0;-0,0622803;5,78978;-0,247304;0;280,621
31;0,5;16;0;270,1;1835,98;2615,88;13,286;0;280,425;274,1;270,23;270,7;2,90032;-0,11001;5,78938;-0,368831;270,1;0;0;2,90032;0;-0,119409;5,78927;-0,387467;0;280,411
32;0,5;16;0;270,1;1837,23;2646,92;13,286;0;280,404;274,1;270,244;270,7;2,90032;-0,174829;5,78844;-0,469978;270,1;0;0;2,90032;0;-0,183862;5,78827;-0,479537;0;280,244
33;0,5;16;0;270,1;1839,51;2682,17;13,286;0;280,36;274,1;270,259;270,7;2,84843;-0,237329;5,78709;-0,520764;270,1;0;-0,354163;2,89949;0;-0,248193;5,78686;-0,535476;0;280,129
34;0,5;16;0;270,1;1841,74;2717,99;13,286;0;280,447;274,1;270,278;270,8;2,13425;-0,312036;5,78528;-0,598272;270,1;0;-0,760107;2,89436;0;-0,312036;5,78528;-0,598272;0;279,994
35;0,5;14;0;270,1;1842,97;2746,39;13,286;0;280,382;274,1;270,296;270,8;2,02006;-0,374048;5,78335;-0,630916;270,1;0;-0,910712;2,88517;0;-0,38418;5,783;-0,634135;0;279,878
36;0,5;11;0;270,1;1837,48;2739,19;13,286;0;280,447;274;270,311;270,8;1,53984;-0,444116;5,78067;-0,645434;270,1;0;-1,36774;2,87128;0;-0,453882;5,78025;-0,64584;0;279,791
37;0,5;10;0;270,1;1832,25;2733,44;13,286;0;280,425;274;270,328;270,9;1,37322;-0,511621;5,77753;-0,644046;270,1;0;-1,48264;2,85586;0;-0,511621;5,77753;-0,644046;0;279,731
38;0,5;8;0;270,1;1823,85;2703,77;13,286;0;280,447;273,9;270,342;270,9;1,13412;-0,567773;5,77449;-0,636495;270,1;0;-1,73047;2,83655;0;-0,576929;5,77396;-0,634605;0;279,67
39;0,5;0;0;270,1;1818,65;2692,71;13,286;0;280,339;273,9;270,358;270,9;1,27818;-0,631006;5,77056;-0,622133;270,1;0;-1,56339;2,81711;0;-0,64187;5,76996;-0,629518;0;279,617
40;0,5;0;0;270,1;1812,25;2674,53;13,286;0;280,447;274;270,376;270,9;0,608399;-0,705591;5,76617;-0,657677;270,1;0;-2,18906;2,79746;0;-0,705591;5,76617;-0,657677;0;279,517
41;0,5;0;0;270,1;1808,58;2674,7;13,286;0;280,295;273,9;270,394;270,9;0,804042;-0,76748;5,76203;-0,668198;270,1;0;-2,00632;2,77281;0;-0,777612;5,7613;-0,668722;0;279,426
42;0,5;0;0;270,1;1802,86;2658,74;13,286;0;280,36;273,9;270,409;270,9;0,521609;-0,827539;5,75754;-0,667585;270,1;0;-2,22834;2,74709;0;-0,847192;5,75597;-0,665825;0;279,352
43;0,5;0;0;270,1;1798,21;2656,48;13,286;0;280,252;273,9;270,425;270,9;0,529964;-0,899072;5,75105;-0,63054;270,1;0;-2,19511;2,72507;0;-0,899072;5,75105;-0,63054;0;279,32
44;0,5;0;0;270,1;1796,17;2668,85;13,286;0;280,143;273,9;270,436;270,9;0,84279;-0,943628;5,74587;-0,581191;270,1;0;-1,86652;2,70327;0;-0,950952;5,74498;-0,574474;0;279,321
45;0,5;0;0;270,1;1792,16;2661,67;13,286;0;280,056;274;270,449;270,9;0,921911;-0,986963;5,74044;-0,544812;270,1;0;-1,45618;2,68294;0;-1,00112;5,73857;-0,534666;0;279,306
46;0,5;0;0;270,1;1792,48;2682,07;13,286;0;279,905;274;270,461;270,8;1,42651;-1,03579;5,7338;-0,51193;270,1;0;-1,25532;2,6694;0;-1,04263;5,73282;-0,507867;0;279,286
47;0,5;0;0;270,1;1790,92;2689,24;13,286;0;279,926;274;270,471;270,8;1,26353;-1,08291;5,72685;-0,485833;270,1;0;-1,46937;2,65351;0;-1,0895;5,72583;-0,48248;0;279,258
48;0,5;0;0;270,1;1789,86;2697,18;13,286;0;279,753;274;270,479;270,8;1,82587;-1,11172;5,72067;-0,4241;270,1;0;-0,856146;2,64083;0;-1,12051;5,71858;-0,405827;0;279,289
49;0,5;0;0;270,1;1791,55;2721,46;13,286;0;279,796;274,1;270,487;270,7;1,75042;-1,14199;5,71327;-0,368411;270,1;0;-0,879401;2,63192;0;-1,14626;5,7122;-0,362369;0;279,303
50;0,5;0;0;270,1;1789,77;2726,13;13,286;0;279,666;274,1;270,491;270,7;2,204;-1,16543;5,70569;-0,305469;270,1;0;-0,262793;2,62379;0;-1,16763;5,7046;-0,293976;0;279,335
51;0,5;0;0;270,1;1789,72;2744,12;13,286;0;279,709;274,2;270,495;270,6;2,20258;-1,17825;5,6991;-0,246196;270,1;0;-0,403601;2,62115;0;-1,18032;5,69799;-0,2384;0;279,375
52;0,5;0;0;270,1;1790,2;2760,7;13,286;0;279,579;274,2;270,495;270,6;2,61915;-1,18105;5,69135;-0,154928;270,1;0;0;2,61915;0;-1,18118;5,69024;-0,144317;0;279,455
53;0,5;1;0;270,1;1788,77;2763,21;13,286;0;279,514;274,2;270,494;270,6;2,61915;-1,17776;5,6836;-0,0756723;270,1;0;0;2,61915;0;-1,17581;5,6825;-0,0607893;0;279,53
54;0,5;3;0;270,1;1788,95;2776,84;13,286;0;279,536;274,2;270,491;270,6;2,61915;-1,16445;5,67592;0,00680843;270,1;0;0;2,61915;0;-1,16262;5,67483;0,0151404;0;279,618
55;0,5;6;0;270,1;1787,98;2780,11;13,286;0;279,34;274,2;270,488;270,6;2,97364;-1,15347;5,6694;0,0485914;270,1;0;0,372748;2,6209;0;-1,15164;5,66832;0,0539033;0;279,665
56;0,5;8;0;270,1;1785,53;2771,78;13,286;0;279,47;274,2;270,485;270,5;2,69505;-1,14102;5,66187;0,0769736;270,1;0;0,0820679;2,62373;0;-1,13931;5,6608;0,0796456;0;279,698
57;0,5;9;0;270,1;1786,06;2782,85;13,286;0;279,319;274,2;270,479;270,5;3,36821;-1,11746;5,65445;0,138688;270,1;0;0,771368;2,62832;0;-1,11392;5,65341;0,145723;0;279,776
58;0,5;11;0;270,1;1784,87;2783,13;13,286;0;279,427;274,2;270,473;270,5;3,23161;-1,0928;5,6472;0,177861;270,1;0;0,596686;2,63493;0;-1,0928;5,6472;0,177861;0;279,826
59;0,5;11;0;270,1;1781,86;2769,31;13,286;0;279,362;274,3;270,469;270,5;3,46936;-1,07815;5,6411;0,169742;270,1;0;0,812201;2,64306;0;-1,07668;5,64009;0,164531;0;279,833
60;0,5;14;0;270,1;1781,82;2770,88;13,286;0;279,405;274,3;270,467;270,6;3,25888;-1,06826;5,63406;0,138648;270,1;0;0,466956;2,65201;0;-1,06692;5,63306;0,135097;0;279,804
61;0,5;14;0;270,1;1781,57;2772,79;13,286;0;279,384;274,3;270,465;270,6;3,27266;-1,05886;5,62708;0,118574;270,1;0;0,615088;2,65757;0;-1,05886;5,62708;0,118574;0;279,789
62;0,5;15;0;270,1;1779,69;2762,05;13,286;0;279,384;274,3;270,466;270,7;3,0896;-1,06326;5,62111;0,0578898;270,1;0;0,396185;2,66398;0;-1,06399;5,62012;0,0501753;0;279,716
63;0,5;16;0;270,1;1779,98;2766,6;13,286;0;279,384;274,3;270,469;270,7;2,81872;-1,0762;5,6141;-0,0194751;270,1;0;0,104224;2,66637;0;-1,07876;5,61309;-0,0304216;0;279,618
64;0,5;16;0;270,1;1780,8;2775,24;13,286;0;279,319;274,3;270,476;270,8;2,67438;-1,09939;5,60799;-0,108128;270,1;0;0;2,66693;0;-1,10378;5,60696;-0,12149;0;279,5
65;0,5;16;0;270,1;1778,48;2768,46;13,286;0;279,384;274,2;270,486;270,9;2,66693;-1,13821;5,60066;-0,21839;270,1;0;0;2,66693;0;-1,14456;5,59959;-0,233193;0;279,344
66;0,5;16;0;270,1;1778,3;2773,48;13,286;0;279,319;274,1;270,5;271,1;2,66684;-1,19973;5,59301;-0,373471;270,1;0;0;2,66684;0;-1,19973;5,59301;-0,373471;0;279,155
67;0,5;16;0;270,1;1774,44;2747,45;13,286;0;279,34;274,1;270,521;271,2;1,90728;-1,28433;5,58487;-0,554106;270,1;0;-0,755621;2,6629;0;-1,28433;5,58487;-0,554106;0;278,888
68;0,5;12;0;270,1;1774,36;2750,89;13,286;0;279,275;274,1;270,548;271,3;1,06664;-1,37466;5,5774;-0,720662;270,1;0;-1,47925;2,64845;0;-1,39175;5,5761;-0,750927;0;278,582
69;0,5;0;0;270,1;1772;2738,65;13,286;0;279,362;274;270,577;271,4;0;-1,50674;5,56796;-0,945312;270,1;0;-3,09864;2,62794;0;-1,52725;5,56796;-0,975809;0;278,216
70;0,5;0;0;270,1;1774,36;2758,1;13,286;0;279,514;274;270,615;271,6;0;-1,63577;5,56796;-1,12399;270,1;0;-4,21705;2,62794;0;-1,65957;5,56796;-1,15745;0;277,908
