time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.4;51.9329;23.6;8.56354;39.9653;22.9;227;315.712;272.606;267;360;272;272;310.185;309.896;60;266.87;1;0;;;2546.39;1;1
1;0.4;51.8316;23.6;8.60119;39.9826;22.9;229;315.611;272.606;267;360;272;272;310.185;309.896;60;266.883;1;0;;;2543.8;1;1
2;0.4;51.8345;23.6;8.63788;40.0897;23;214;315.263;272.497;267;360;272;272;310.185;309.896;60;266.893;1;0;;;2543.8;1;1
3;0.4;51.8142;23.6;8.68881;40.0897;23;214;315.263;272.656;267;360;272;272;310.04;309.896;60;266.905;1;0;;;2541.86;1;1
4;0.4;51.4236;23.7;8.95448;40.0897;23;225;315.249;272.707;267;360;272;272;310.04;309.751;60;266.922;1;0;;;2541.86;1;1
5;0.4;51.5249;23.7;9.00814;40.0897;23.1;227;315.379;272.714;267;360;272;272;310.185;309.896;60;266.94;1;0;;;2540.57;1;1
6;0.4;51.7303;23.7;9.0802;40.1939;23.1;223;315.495;272.49;267;360;272;272;310.185;309.896;60;266.956;1;0;;;2540.57;1;1
7;0.4;51.5828;23.7;9.09033;39.9884;23.1;223;314.656;272.692;267;360;272;272;310.185;309.896;60;266.973;1;0;;;2538.01;1;1
8;0.4;51.5249;23.7;9.11613;39.7598;23.1;238;314.598;272.866;267;360;272;272;310.185;309.896;60;266.995;1;0;;;2538.01;1;1
9;0.4;51.6811;23.8;9.5669;39.7859;23.2;232;314.54;272.859;267;360;272;272;310.185;309.896;60;267.015;1;0;;;2538.01;1;1
10;0.4;51.7332;23.8;9.61268;39.7859;23.2;221;314.265;272.844;267;360;272;272;310.185;309.896;60;267.041;1;0;;;2538.01;1;1
11;0.4;51.9329;23.8;9.64978;39.89;23.2;212;314.222;272.837;267;360;272;272;310.185;309.896;60;267.061;1;0;;;2538.01;1;1
12;0.4;51.9994;23.8;9.71664;39.8872;23.2;215;314.337;272.873;267;360;272;272;310.185;309.896;60;267.086;1;0;;;2536.72;1;1
13;0.4;51.8229;23.8;9.738;39.6846;23.3;223;314.482;272.88;267;360;272;272;310.185;309.896;60;267.11;1;0;;;2534.78;1;1
14;0.4;51.8316;23.8;9.72152;39.838;23.3;217;314.395;272.873;267;360;272;272;310.33;310.04;60;267.136;1;0;;;2534.14;1;1
15;0.4;51.9271;23.9;10.1101;39.9913;23.3;210;314.323;272.989;267;360;272;272;310.33;310.04;60;267.16;1;0;;;2532.2;1;1
16;0.4;51.8345;23.9;10.1826;39.6846;23.3;209;313.99;272.975;267;360;272;272;310.33;310.04;60;267.188;1;0;;;2532.2;1;1
17;0.4;51.7303;23.9;10.1622;39.7859;23.4;207;313.932;272.967;267;360;272;272;310.185;310.04;60;267.212;1;0;;;2532.2;1;1
18;0.4;51.6262;23.9;10.1597;39.783;23.4;201;313.932;272.96;267;360;272;272;310.185;310.04;60;267.238;1;0;;;2532.2;1;1
19;0.4;51.7332;23.9;10.3073;39.6846;23.4;193;314.005;272.96;267;360;272;272;310.33;310.04;60;267.268;1;0;;;2532.2;1;1
20;0.4;51.93;23.9;10.3103;39.5949;23.5;193;314.12;272.96;267;360;272;272;310.33;310.185;60;267.295;1;0;;;2532.2;1;1
21;0.4;52.0341;24;10.8115;39.7859;23.5;195;313.455;272.953;267;360;272;272;310.33;310.185;60;267.328;1;0;;;2531.56;1;1
22;0.4;51.9329;24;10.8267;39.7859;23.5;185;313.397;272.953;267;360;272;272;310.33;310.185;60;267.359;1;0;;;2530.27;1;1
23;0.4;51.9329;24;10.8449;39.8872;23.5;179;313.281;273.387;267;360;272;272;310.33;310.185;60;267.39;1;0;;;2527.04;1;1
24;0.4;51.7303;24;10.8749;39.8872;23.6;175;313.209;273.409;267;360;272;272;310.185;310.04;60;267.417;1;0;;;2523.82;1;1
25;0.4;51.8316;24;10.8962;39.7859;23.6;168;313.209;273.38;267;360;272;272;310.185;310.185;60;267.446;1;0;"KHP7025     ";;2523.18;1;1
26;0.4;51.9329;24.1;11.3063;39.7859;23.6;158;312.876;273.372;267;360;272;272;310.33;310.04;60;267.473;1;0;;;2522.09;1;1
27;0.4;51.6262;24.1;11.3117;39.6846;23.6;157;312.92;273.358;267;360;272;272;310.33;310.185;60;267.499;1;0;;;2521.44;1;1
28;0.4;51.4236;24.1;11.3212;39.6499;23.7;151;312.963;273.38;267;360;272;272;310.33;310.185;60;267.525;1;0;;;2520.8;1;1
29;0.4;51.6291;24.1;11.4206;39.7859;23.7;146;312.283;273.365;267;360;272;272;310.33;310.185;60;267.551;1;0;;;2520.16;1;1
30;0.4;51.8316;24.1;11.5016;39.9884;23.7;145;312.196;273.365;267;360;272;272;310.33;310.185;60;267.579;1;0;;;2520.16;1;1
31;0.4;51.9329;24.1;11.5785;39.8929;23.7;147;312.225;273.38;267;360;272;272;310.33;310.185;60;267.604;1;0;;;2520.16;1;1
32;0.4;51.8316;24.2;11.9984;39.8872;23.8;145;311.487;273.409;267;360;272;272;310.475;310.185;60;267.626;1;0;;;2518.87;1;1
33;0.4;51.8316;24.2;12.0527;39.9913;23.8;137;311.574;273.394;267;360;272;272;310.475;310.04;60;267.646;1;0;;;2518.87;1;1
