time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;1;52.3206;26.4;3.74836;39.783;27.3;1;280.469;281.272;270;343;278.6;278.6;0.578704;1.30208;5;274.682;;;1147.16;1;0
1;1;52.338;26.4;3.87761;39.9826;27.3;12;280.556;281.221;270;343;278.6;278.6;0.578704;1.30208;5;274.757;;;1148.19;1;0
2;1;52.1354;26.4;3.88082;39.9971;27.3;53;280.642;281.221;270;343;278.6;278.6;0.578704;1.15741;5;274.836;;;1149.28;1;0
3;1;52.2396;26.4;3.9251;39.9826;27.3;187;280.657;281.199;270;343;278.6;278.6;0.578704;1.30208;5;274.925;;;1154.19;1;0
4;1;52.0312;26.4;3.9458;39.7801;27.3;313;280.556;281.257;270;343;278.6;278.6;0.578704;1.30208;5;274.992;;;1158.84;1;0
5;1;52.1354;26.4;4.00834;39.4763;27.3;411;280.425;281.185;270;343;278.6;278.6;0.578704;1.15741;5;275.052;;;1162.13;1;0
6;1;52.0197;26.4;4.01761;39.5775;27.3;506;280.396;281.214;270;343;278.6;278.6;0.578704;1.15741;5;275.11;;;1162.58;1;0
7;1;52.3409;26.4;4.13386;39.5284;27.3;585;281.264;281.055;270;343;278.6;278.6;0.578704;1.15741;5;275.16;;;1163.12;1;0
8;1;52.1354;26.4;4.13585;39.6788;27.3;665;281.554;281.047;270;343;278.6;278.6;29.3692;14.1782;5;275.206;;;1162.85;1;0
9;1;51.93;26.4;4.21026;39.6788;27.3;701;282.335;281.047;270;343;278.6;278.6;187.066;212.529;5;275.231;;;1164.49;1;0
