time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.8;52.1672;31.5;11.9036;39.8785;31.8;262;336.155;281.677;268;355;272;272;436.921;436.921;60;268.888;;;1162.23;1;1
1;0.8;52.4074;31.5;11.9035;40.081;31.8;255;336.111;281.677;268;355;272;272;436.921;436.921;60;268.96;;;1161.73;1;1
2;0.8;52.3351;31.5;11.8322;40.081;31.8;242;335.836;281.684;268;355;272;272;436.921;436.921;60;268.997;;;1160.49;1;1
3;0.8;52.5376;31.5;11.7862;40.081;31.8;243;335.807;281.662;268;355;272;272;436.921;436.921;60;269.019;;;1159.95;1;1
4;0.8;52.6389;31.5;11.7353;39.9797;31.8;240;335.778;282.075;268;355;272;272;436.921;436.921;60;269.038;;;1158.06;1;1
5;0.8;52.3351;31.5;11.6493;40.1852;31.8;240;335.012;282.067;268;355;272;272;437.066;437.066;60;269.074;;;1156.35;1;1
6;0.8;52.0312;31.5;11.4544;40.3877;31.8;231;335.069;282.06;268;355;272;272;437.066;437.066;60;269.133;;;1155.27;1;1
7;0.8;52.0312;31.6;11.7168;40.1418;31.8;232;335.171;282.067;268;355;272;272;437.066;437.066;60;269.181;;;1154.96;1;1
8;0.8;52.2338;31.6;11.7259;40.0868;31.8;226;335.156;282.067;268;355;272;272;437.066;436.921;60;269.22;;;1153.49;1;1
9;0.8;52.5405;31.6;11.6663;40.0376;31.8;217;334.838;282.075;268;355;272;272;437.066;437.066;60;269.244;;;1153.18;1;1
10;0.8;52.7951;31.6;11.7044;40.081;31.8;208;334.795;282.075;268;355;272;272;437.066;437.066;60;269.248;;;1152.87;1;1
11;0.8;52.9456;31.6;11.6452;40.0289;31.8;200;334.534;282.075;268;355;272;272;437.066;437.066;60;269.237;;;1151.42;1;1
12;0.8;52.7459;31.6;11.5276;39.9797;31.8;196;333.941;282.075;268;355;272;272;437.066;437.066;60;269.221;;;1149.87;1;1
13;0.8;52.4045;31.6;11.453;39.8785;31.9;196;334.664;282.06;268;355;272;272;437.066;437.066;60;269.205;;;1148.63;1;1
14;0.8;52.1325;31.6;11.3389;39.8785;31.9;189;333.912;282.06;268;355;272;272;437.066;437.066;60;269.182;;;1148.63;1;1
15;0.8;52.1181;31.7;11.6167;39.8785;31.9;196;333.623;282.067;268;355;272;272;437.066;436.921;60;269.161;;;1147.08;1;1
16;0.8;51.9271;31.7;11.4835;39.8785;31.9;198;333.565;282.067;268;355;272;272;436.921;437.066;60;269.135;;;1145.84;1;1
17;0.8;52.3351;31.7;11.4823;39.8785;31.9;195;332.798;282.067;268;355;272;272;437.066;437.066;60;269.113;;;1145.53;1;1
18;0.8;52.2396;31.7;11.3883;39.8785;31.8;215;332.755;282.075;268;355;272;272;437.066;437.066;60;269.086;;;1143.99;1;1
19;0.8;52.3351;31.7;11.4274;39.7743;31.8;227;332.393;282.075;268;355;272;272;437.066;437.066;60;269.055;;;1142.13;1;1
20;0.8;52.5405;31.7;11.3621;39.7772;31.8;227;331.655;282.075;268;355;272;272;437.066;437.066;60;269.017;;;1141.82;1;1
21;0.8;52.1354;31.7;11.2017;39.8785;31.8;247;331.698;282.06;268;355;272;272;437.211;437.066;60;268.977;;;1140.9;1;1
22;0.8;52.1296;31.7;11.1276;39.9826;31.8;263;331.337;281.756;268;355;272;272;437.211;437.211;60;268.914;;;1140.52;1;1
23;0.8;51.6435;31.8;11.3203;39.6759;31.8;274;330.845;281.749;268;355;272;272;437.211;437.211;60;268.762;;;1138.98;1;1
24;0.8;52.0312;31.8;11.2598;39.7801;31.8;294;330.83;281.749;268;355;272;272;437.211;437.211;60;268.652;;;1138.67;1;1
25;0.8;51.9705;31.8;11.2104;40.081;31.8;324;330.339;281.742;268;355;272;272;437.211;437.066;60;268.552;;;1137.74;1;1
26;0.8;52.0631;31.8;11.1212;40.1707;31.8;341;330.266;281.742;268;355;272;272;437.066;437.211;60;268.466;;;1135.97;1;1
27;0.8;52.2222;31.8;11.1734;39.9797;31.8;365;330.208;281.742;268;355;272;272;437.211;437.211;60;268.387;;;1134.45;1;1
28;0.8;52.1325;31.8;11.045;39.8785;31.8;392;329.63;281.764;268;355;272;272;437.355;437.355;60;268.327;;;1133.91;1;1
29;0.8;52.228;31.8;11.0287;39.8785;31.8;419;329.63;281.756;268;355;272;272;437.211;437.211;60;268.285;;;1133.86;1;1
30;0.8;52.3351;31.8;10.9782;39.974;31.7;450;329.615;281.749;268;355;272;272;437.211;437.066;60;268.272;;;1131.4;1;1
31;0.8;52.4363;31.8;10.9261;39.9769;31.7;473;329.673;281.749;268;355;272;272;437.211;437.066;60;268.278;;;1130.48;1;1
