time;Banddicke;Verzinnungsstation_ Kühlleistung;Bandbreite;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Reglerausgang Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;mm;m/min;mbar;mbar;°C;°C;°C;%;°C
12.06.2026 05:15:28.938787;0,43;6,00083;340;0;0,289352;0,434028;279,635;270,14;269,813;3,31887;270
12.06.2026 05:15:29.938787;0,43;6,0153;340;0;0,289352;0,434028;279,635;270,14;269,813;3,31887;270
12.06.2026 05:15:30.938787;0,43;6,04593;340;0;0,434028;0,434028;279,635;270,14;269,813;3,31887;270
12.06.2026 05:15:31.938787;0,43;5,9489;340;0;0,434028;0,578704;279,635;270,14;269,813;3,31887;270
12.06.2026 05:15:32.938787;0,43;5,98617;340;0;0,289352;0,434028;279,693;269,92;269,817;4,89934;270
12.06.2026 05:15:33.938787;0,43;6,01217;340;0;0,289352;0,434028;279,693;269,92;269,817;4,89934;270
12.06.2026 05:15:34.938787;0,43;5,97751;340;0;0,434028;0,434028;279,693;269,92;269,817;4,89934;270
12.06.2026 05:15:35.938787;0,43;6,02376;340;0;0,289352;0,578704;279,693;269,92;269,817;4,89934;270
12.06.2026 05:15:36.938787;0,43;5,97517;340;0;0,434028;0,434028;279,59;269,9;269,817;4,73825;270
12.06.2026 05:15:37.938787;0,43;5,92935;340;0;0,289352;0,434028;279,59;269,9;269,817;4,73825;270
12.06.2026 05:15:38.938787;0,43;6,01066;340;0;0,289352;0,434028;279,59;269,9;269,817;4,73825;270
12.06.2026 05:15:39.938787;0,43;6,04039;340;0;0,289352;0,578704;279,59;269,9;269,817;4,73825;270
12.06.2026 05:15:40.938787;0,43;6,01314;340;0;0,289352;0,434028;279,545;270,003;269,817;4,71644;270
12.06.2026 05:15:41.938787;0,43;6,02829;340;0;0,434028;0,434028;279,545;270,003;269,817;4,71644;270
12.06.2026 05:15:42.938787;0,43;5,98704;340;0;0,289352;0,434028;279,545;270,003;269,817;4,71644;270
12.06.2026 05:15:43.938787;0,43;5,96245;340;0;0,434028;0,434028;279,545;270,003;269,817;4,71644;270
12.06.2026 05:15:44.938787;0,43;6,055;340;0;0,289352;0,434028;279,479;270,1;269,817;4,71354;270
12.06.2026 05:15:45.938787;0,43;6,09324;340;0;0,434028;0,434028;279,479;270,1;269,817;4,71354;270
12.06.2026 05:15:46.938787;0,43;6,00411;340;0;0,289352;0,434028;279,479;270,1;269,817;4,71354;270
12.06.2026 05:15:47.938787;0,43;6,04802;340;0;0,289352;0,434028;279,479;270,1;269,817;4,71354;270
12.06.2026 05:15:48.938787;0,43;6,07019;340;0;0,434028;0,434028;279,421;270,057;269,815;4,71323;270
12.06.2026 05:15:49.938787;0,43;5,96873;340;0;0,434028;0,578704;279,421;270,057;269,815;4,71323;270
12.06.2026 05:15:50.938787;0,43;6,00537;340;0;0,289352;0,434028;279,421;270,057;269,815;4,71323;270
12.06.2026 05:15:51.938787;0,43;5,95343;340;0;0,289352;0,578704;279,421;270,057;269,815;4,71323;270
12.06.2026 05:15:52.938787;0,43;6,01681;340;0;0,289352;0,434028;279,345;270;269,798;4,71318;270
12.06.2026 05:15:53.938787;0,43;5,95368;340;0;0,434028;0,434028;279,345;270;269,798;4,71318;270
12.06.2026 05:15:54.938787;0,43;5,94468;340;0;0,434028;0,434028;279,345;270;269,798;4,71318;270
12.06.2026 05:15:55.938787;0,43;6,00159;340;0;0,289352;0,434028;279,345;270;269,798;4,71318;270
