Time;[11:7];[31:42];[31:47];[32:1];[32:90];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345]
time;Banddicke;Verzinnungsstation_ Kühlleistung;Verzinnungsstation FU_ Kühlleistung;Bandbreite;Düsendruck;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Temperatur unter der Zinnbadrolle 2 (WSP);Reglerausgang Y-Out (WSP);P-Anteil von Y-Out (WSP);I-Anteil von Y-Out (WSP);D-Anteil von Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;kW;mm;mbar;m/min;mbar;mbar;°C;°C;°C;°C;%;%;%;%;°C
0;0,6;13,103;10,0996;343;380;0;0,289352;0,434028;293,344;285,323;279,334;278,663;1,0136;-41,1126;10,2838;1,84235;277
1;0,6;13,0889;10,1432;343;380;0;0,289352;0,434028;293,344;285,323;279,334;278,663;1,0136;-41,1126;10,2838;1,84235;277
2;0,6;13,1573;10,2174;343;380;0;0,289352;0,434028;293,267;285,383;279,29;278,893;0,0338807;-41,4125;9,88756;0,38035;277
3;0,6;13,2345;10,2533;343;380;0;0,289352;0,434028;293,267;285,383;279,29;278,893;0,0338807;-41,4125;9,88756;0,38035;277
4;0,6;13,1712;10,2271;343;380;0;0,289352;0,434028;293,267;285,383;279,29;278,893;0,0338807;-41,4125;9,88756;0,38035;277
5;0,6;13,2749;10,2099;343;380;0;0,289352;0,434028;293,267;285,383;279,29;278,893;0,0338807;-41,4125;9,88756;0,38035;277
6;0,6;13,1757;10,1942;343;380;0;0,289352;0,434028;293,194;285,622;279,28;279,238;0;-42,6125;9,87464;-1,17446;277
7;0,6;13,1977;10,2123;343;380;0;0,289352;0,434028;293,194;285,622;279,28;279,238;0;-42,6125;9,87464;-1,17446;277
8;0,6;13,2385;10,2848;343;380;0;0,289352;0,434028;293,194;285,622;279,28;279,238;0;-42,6125;9,87464;-1,17446;277
9;0,6;13,2213;10,2074;343;380;0;0,289352;0,434028;293,194;285,622;279,28;279,238;0;-42,6125;9,87464;-1,17446;277
10;0,6;13,1938;10,251;343;380;0;0,289352;0,434028;293,145;285,848;279,309;279,598;0;-43,7375;9,87464;-1,74056;277
11;0,6;13,3168;10,3049;343;380;0;0,289352;0,434028;293,145;285,848;279,309;279,598;0;-43,7375;9,87464;-1,74056;277
12;0,6;13,2881;10,2627;343;380;0;0,289352;0,434028;293,145;285,848;279,309;279,598;0;-43,7375;9,87464;-1,74056;277
13;0,6;13,4677;10,3594;343;380;0;0,289352;0,434028;293,145;285,848;279,309;279,598;0;-43,7375;9,87464;-1,74056;277
14;0,6;13,3539;10,2774;343;380;0;0,289352;0,434028;293,072;286,025;279,373;279,915;0;-44,6125;9,87464;-1,75307;277
15;0,6;13,3018;10,2854;343;380;0;0,289352;0,434028;293,072;286,025;279,373;279,915;0;-44,6125;9,87464;-1,75307;277
16;0,6;13,349;10,345;343;380;0;0,289352;0,434028;293,072;286,025;279,373;279,915;0;-44,6125;9,87464;-1,75307;277
17;0,6;13,3113;10,2604;343;380;0;0,289352;0,434028;293,072;286,025;279,373;279,915;0;-44,6125;9,87464;-1,75307;277
18;0,6;13,3452;10,3211;343;380;0;0,434028;0,434028;293,041;286,148;279,457;280,008;0;-45,225;9,87464;-1,46282;277
19;0,6;13,3416;10,2828;343;380;0;0,434028;0,434028;293,041;286,148;279,457;280,008;0;-45,225;9,87464;-1,46282;277
20;0,6;13,3594;10,2823;343;380;0;0,289352;0,578704;293,041;286,148;279,457;280,008;0;-45,225;9,87464;-1,46282;277
21;0,6;13,37;10,3594;343;380;0;0,289352;0,434028;293,041;286,148;279,457;280,008;0;-45,225;9,87464;-1,46282;277
22;0,6;13,3638;10,315;343;380;0;0,289352;0,434028;292,949;286,3;279,535;279,987;0;-46,0001;9,87464;-1,45752;277
23;0,6;13,3895;10,2948;343;380;0;0,289352;0,434028;292,949;286,3;279,535;279,987;0;-46,0001;9,87464;-1,45752;277
24;0,6;13,4085;10,319;343;380;0;0,289352;0,434028;292,949;286,3;279,535;279,987;0;-46,0001;9,87464;-1,45752;277
25;0,6;13,3355;10,3181;343;380;0;0,289352;0,434028;292,949;286,3;279,535;279,987;0;-46,0001;9,87464;-1,45752;277
26;0,6;13,3635;10,3839;343;380;0;0,289352;0,434028;292,829;286,365;279,586;279,713;0;-46,325;9,87464;-1,01615;277
27;0,6;13,4231;10,4145;343;380;0;0,289352;0,434028;292,829;286,365;279,586;279,713;0;-46,325;9,87464;-1,01615;277
28;0,6;13,3154;10,418;343;380;0;0,289352;0,434028;292,829;286,365;279,586;279,713;0;-46,325;9,87464;-1,01615;277
29;0,6;13,4577;10,3755;343;380;0;0,289352;0,434028;292,829;286,365;279,586;279,713;0;-46,325;9,87464;-1,01615;277
30;0,6;13,5802;10,3322;343;380;0;0,289352;0,434028;292,746;286,338;279,595;279,318;0;-46,1875;9,87464;-0,257124;277
31;0,6;13,6079;10,3658;343;380;0;0,289352;0,434028;292,746;286,338;279,595;279,318;0;-46,1875;9,87464;-0,257124;277
32;0,6;13,6629;10,4831;343;380;0;0,289352;0,434028;292,746;286,338;279,595;279,318;0;-46,1875;9,87464;-0,257124;277
33;0,6;13,4793;10,4888;343;380;0;0,434028;0,434028;292,746;286,338;279,595;279,318;0;-46,1875;9,87464;-0,257124;277
34;0,6;13,5148;10,4882;343;380;0;0,289352;0,578704;292,698;286,23;279,569;279,017;0;-45,6626;9,87464;0,488019;277
35;0,6;13,5345;10,1317;343;380;0;0,289352;0,434028;292,698;286,23;279,569;279,017;0;-45,6626;9,87464;0,488019;277
36;0,6;13,5718;10,1364;343;380;0;0,434028;0,434028;292,698;286,23;279,569;279,017;0;-45,6626;9,87464;0,488019;277
37;0,6;13,678;10,4451;343;380;0;0,289352;0,434028;292,698;286,23;279,569;279,017;0;-45,6626;9,87464;0,488019;277
38;0,6;13,6176;10,4638;343;380;0;0,289352;0,434028;292,626;285,965;279,524;278,878;0;-44,325;9,87464;1,73866;277
39;0,6;13,53;10,42;343;380;0;0,289352;0,434028;292,626;285,965;279,524;278,878;0;-44,325;9,87464;1,73866;277
40;0,6;13,5989;10,4042;343;380;0;0,434028;0,578704;292,626;285,965;279,524;278,878;0;-44,325;9,87464;1,73866;277
41;0,6;13,5975;10,146;343;380;0;0,289352;0,434028;292,626;285,965;279,524;278,878;0;-44,325;9,87464;1,73866;277
42;0,6;13,5478;10,1075;343;380;0;0,289352;0,578704;292,566;285,65;279,479;278,885;0,129333;-42,75;9,83605;2,52096;277
43;0,6;13,4921;10,0924;343;380;0;0,289352;0,434028;292,566;285,65;279,479;278,885;0,129333;-42,75;9,83605;2,52096;277
44;0,6;13,6962;10,1845;343;380;0;0,289352;0,434028;292,566;285,65;279,479;278,885;0,129333;-42,75;9,83605;2,52096;277
45;0,6;13,6272;10,1501;343;380;0;0,289352;0,434028;292,566;285,65;279,479;278,885;0,129333;-42,75;9,83605;2,52096;277
46;0,6;13,6607;10,2032;343;380;0;0,289352;0,578704;292,519;285,427;279,445;278,935;0,25118;-41,6375;9,49378;2,30221;277
47;0,6;13,616;10,184;343;380;0;0,289352;0,434028;292,519;285,427;279,445;278,935;0,25118;-41,6375;9,49378;2,30221;277
48;0,6;13,6784;10,1622;343;380;0;0,434028;0,578704;292,519;285,427;279,445;278,935;0,25118;-41,6375;9,49378;2,30221;277
49;0,6;13,6801;10,2215;343;380;0;0,289352;0,434028;292,519;285,427;279,445;278,935;0,25118;-41,6375;9,49378;2,30221;277
50;0,6;14,151;10,2602;343;380;0;0,289352;0,578704;292,45;285,4;279,42;279;0;-41,5;9,36221;1,14791;277
51;0,6;14,0361;10,2426;343;380;0;0,434028;0,434028;292,45;285,4;279,42;279;0;-41,5;9,36221;1,14791;277
52;0,6;13,5762;10,2244;343;380;0;0,289352;0,434028;292,45;285,4;279,42;279;0;-41,5;9,36221;1,14791;277
53;0,6;14,1485;10,2226;343;380;0;0,289352;0,434028;292,45;285,4;279,42;279;0;-41,5;9,36221;1,14791;277
54;0,6;14,1697;10,1821;343;380;0;0,289352;0,434028;292,409;285,438;279,399;279;0;-41,675;9,36221;0,272817;277
55;0,6;14,2347;10,2407;343;380;0;0,289352;0,434028;292,409;285,438;279,399;279;0;-41,675;9,36221;0,272817;277
56;0,6;14,2178;10,2182;343;380;0;0,289352;0,434028;292,409;285,438;279,399;279;0;-41,675;9,36221;0,272817;277
57;0,6;14,0931;10,2383;343;380;0;0,434028;0,434028;292,409;285,438;279,399;279;0;-41,675;9,36221;0,272817;277
58;0,6;14,1447;10,2284;343;380;0;0,289352;0,434028;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
59;0,6;13,8454;10,2607;343;380;0;0,289352;0,578704;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
60;0,6;14,3541;10,3554;343;380;0;0,289352;0,434028;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
61;0,6;14,2074;10,2226;343;380;0;0,289352;0,434028;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
62;0,6;14,2628;10,2919;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
63;0,6;14,3109;10,3938;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
64;0,6;14,3287;10,3347;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
65;0,6;14,3079;10,3554;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
66;0,6;14,1327;10,3093;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
67;0,6;14,2872;10,2945;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
68;0,6;14,3871;10,3518;343;380;0;0,289352;0,578704;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
69;0,6;14,2652;10,3152;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
