Time;[11:7];[31:42];[32:1];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:341];[33:345]
time;Banddicke;Verzinnungsstation_ Kühlleistung;Bandbreite;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Reglerausgang Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;mm;m/min;mbar;mbar;°C;°C;°C;%;°C
0;0,6;0;343;0;0,289352;0,434028;291,815;282,158;274,161;0;277
1;0,6;0;343;0;0,289352;0,434028;291,815;282,158;274,161;0;277
2;0,6;0;343;0;0,289352;0,578704;291,815;282,158;274,161;0;277
3;0,6;0;343;0;0,289352;0,434028;291,815;282,158;274,161;0;277
4;0,6;0;343;0;0,289352;0,434028;291,681;282,492;274,164;0;277
5;0,6;0;343;0;0,289352;0,434028;291,681;282,492;274,164;0;277
6;0,6;0;343;0;0,289352;0,434028;291,681;282,492;274,164;0;277
7;0,6;0;343;0;0,289352;0,578704;291,681;282,492;274,164;0;277
8;0,6;0;343;0;0,289352;0,434028;291,563;282,745;274,165;0;277
9;0,6;0;343;0;0,289352;0,434028;291,563;282,745;274,165;0;277
10;0,6;0;343;0;0,289352;0,434028;291,563;282,745;274,165;0;277
11;0,6;0;343;0;0,289352;0,434028;291,563;282,745;274,165;0;277
12;0,6;0;343;0;0,289352;0,434028;291,468;282,703;274,159;0;277
13;0,6;0;343;0;0,434028;0,434028;291,468;282,703;274,159;0;277
14;0,6;0;343;0;0,434028;0,434028;291,468;282,703;274,159;0;277
15;0,6;0;343;0;0,289352;0,434028;291,468;282,703;274,159;0;277
16;0,6;0;343;0;0,289352;0,434028;291,337;282,478;274,151;0;277
17;0,6;0;343;0;0,289352;0,434028;291,337;282,478;274,151;0;277
18;0,6;0;343;0;0,434028;0,434028;291,337;282,478;274,151;0;277
19;0,6;0;343;0;0,289352;0,434028;291,337;282,478;274,151;0;277
20;0,6;0;343;0;0,289352;0,434028;291,221;282,278;274,137;0;277
21;0,6;0;343;0;0,289352;0,578704;291,221;282,278;274,137;0;277
22;0,6;0;343;0;0,289352;0,434028;291,221;282,278;274,137;0;277
23;0,6;0;343;0;0,434028;0,434028;291,221;282,278;274,137;0;277
24;0,6;0;343;0;0,289352;0,434028;291,17;282,2;274,117;0;277
25;0,6;0;343;0;0,289352;0,434028;291,17;282,2;274,117;0;277
