time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.25;51.6435;26.8;5.04825;39.8814;27.4;113;296.774;275.434;273;330;275;275;590.278;590.712;30;272.613;;;5028.39;1;1
1;0.25;51.8374;26.8;5.03096;39.5747;27.4;99;297.266;275.427;273;330;275;275;590.133;590.422;30;272.557;;;5009.5;1;1
2;0.25;51.93;26.8;5.07625;39.5747;27.5;91;298.365;275.412;273;330;275;275;589.988;590.278;30;272.503;;;5012.11;1;1
3;0.25;52.0312;26.9;5.36668;39.7772;27.5;85;299.117;275.427;273;330;275;275;589.699;590.133;30;272.453;;;5001.95;1;1
4;0.25;51.8287;26.9;5.32769;39.5747;27.5;83;299.595;275.427;273;330;275;275;589.554;589.844;30;272.391;;;5004.7;1;1
5;0.25;51.93;27;5.70881;39.7772;27.5;78;300.405;275.463;273;330;275;275;589.265;589.699;30;272.336;"KHP102      ";;5007.41;1;1
6;0.25;51.93;27;5.72695;39.7772;27.6;75;300.955;275.448;273;330;275;275;589.12;589.554;30;272.286;;;5009.6;1;1
7;0.25;52.0341;27;5.66573;39.7772;27.6;76;300.911;275.398;273;330;275;275;588.976;589.41;30;272.242;;;5037.55;1;1
8;0.25;51.8316;27.1;5.92315;39.8814;27.6;74;301.302;275.434;273;330;275;275;588.976;589.265;30;272.202;;;5022.59;1;1
9;0.25;51.93;27.1;5.95253;39.9653;27.6;73;301.953;275.427;273;330;275;275;588.831;589.265;30;272.158;;;5004.47;1;1
10;0.25;51.7274;27.2;6.26244;39.6296;27.6;74;302.488;275.456;273;330;275;275;588.686;589.12;30;272.118;;;5028.42;1;1
11;0.25;51.93;27.2;6.28696;39.8814;27.6;78;302.59;275.42;273;330;275;275;588.542;588.976;30;272.08;;;5016.95;1;1
12;0.25;51.8287;27.2;6.2566;39.7772;27.6;94;303.212;275.448;273;330;275;275;588.542;588.831;30;272.052;"KHP102      ";;5001.11;1;1
13;0.25;51.8287;27.2;6.23849;39.702;27.6;155;303.125;275.441;273;330;275;275;588.397;588.831;30;272.028;;;5006.19;1;1
14;0.25;51.522;27.3;6.53337;39.7772;27.6;227;303.009;275.427;273;330;275;275;588.397;588.831;30;271.992;;;5000.02;1;1
15;0.25;51.522;27.3;6.51535;39.5775;27.6;243;302.966;275.427;273;330;275;275;588.108;588.686;30;271.968;;;5013.19;1;1
16;0.25;51.82;27.3;6.55303;39.3721;27.5;269;303.414;275.774;273;330;275;275;587.963;588.397;30;271.943;;;5010.93;1;1
17;0.25;51.5538;27.3;6.46534;39.5891;27.5;270;303.501;275.788;273;330;275;275;587.963;588.252;30;271.908;;;5006.43;1;1
18;0.25;51.765;27.4;6.8252;39.8409;27.5;274;304.152;275.774;273;330;275;275;587.818;588.108;30;271.873;;;5010.78;1;1
19;0.25;52.0312;27.4;6.84212;39.8785;27.5;282;304.181;275.774;273;330;275;275;587.674;588.108;30;271.837;;;4994.95;1;1
20;0.25;52.0312;27.4;6.84212;39.9016;27.5;287;304.731;275.774;273;330;275;275;587.529;587.963;30;271.804;;;4994.38;1;1
21;0.25;51.8287;27.4;6.83359;39.7772;27.5;283;304.63;275.752;273;330;275;275;587.529;587.963;30;271.767;;;5001.16;1;1
22;0.25;51.7535;27.4;6.78751;39.6759;27.5;282;305.049;275.752;273;330;275;275;587.384;587.674;30;271.737;;;4994.4;1;1
23;0.25;51.93;27.4;6.79252;39.9826;27.4;287;305.411;275.752;273;330;275;275;587.384;587.674;30;271.702;;;5000.07;1;1
24;0.25;52.037;27.4;6.75197;40.2865;27.4;283;306.047;275.76;273;330;275;275;587.24;587.529;30;271.67;;;5005.72;1;1
25;0.25;52.0312;27.4;6.80577;40.2488;27.4;284;306.771;275.738;273;330;275;275;586.95;587.384;30;271.651;;;5003.4;1;1
26;0.25;51.8113;27.4;6.74081;39.9826;27.4;275;307.306;275.796;273;330;275;275;586.806;587.095;30;271.634;"KHP102      ";;5007.39;1;1
27;0.25;51.7274;27.4;6.67565;39.8785;27.4;267;307.277;275.788;273;330;275;275;586.661;587.095;30;271.619;;;4991.95;1;1
