time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
0;0.4;52.5434;26.9;17.1871;40.0347;24.9;223;307.017;267.781;265;360;272;272;309.751;309.462;60;263.847;1;0;;;1729.7;1;1
1;0.4;52.6447;26.9;17.1835;40.0897;24.9;222;307.089;267.752;265;360;272;272;309.607;309.462;60;263.853;1;0;;;1728.1;1;1
2;0.4;52.1354;26.9;17.0355;40.191;24.9;223;307.205;267.723;265;360;272;272;309.607;309.607;60;263.858;1;0;;;1728.1;1;1
3;0.4;52.0341;26.9;16.9115;39.9855;24.9;220;307.292;267.716;265;360;272;272;309.607;309.607;60;263.862;1;0;;;1727;1;1
4;0.4;51.9329;26.9;16.8786;39.9855;24.8;218;306.554;267.788;265;360;272;272;309.751;309.607;60;263.866;1;0;;;1726.45;1;1
5;0.4;51.8866;26.9;16.7729;40.0897;24.8;229;306.481;267.766;265;360;272;272;309.607;309.607;60;263.87;1;0;;;1725.89;1;1
6;0.4;51.9329;26.9;16.7879;39.8843;24.8;229;306.38;267.882;265;360;272;272;309.607;309.462;60;263.873;1;0;;;1725.89;1;1
7;0.4;52.0341;26.9;16.8024;39.8843;24.8;227;306.279;267.896;265;360;272;272;309.607;309.462;60;263.881;1;0;;;1723.14;1;1
8;0.4;52.3756;26.9;16.8395;39.6817;24.8;223;306.264;267.904;265;360;272;272;309.607;309.317;60;263.891;1;0;;;1722.81;1;1
9;0.4;52.2338;26.9;16.7391;39.783;24.8;224;306.322;267.896;265;360;272;272;309.607;309.462;60;263.903;1;0;;;1720.11;1;1
10;0.4;51.9329;26.9;16.6608;39.6817;24.8;231;306.395;267.889;265;360;272;272;309.607;309.462;60;263.915;1;0;;;1719.56;1;1
11;0.4;52.0428;26.9;16.6597;39.7685;24.8;231;306.481;267.875;265;360;272;272;309.607;309.462;60;263.924;1;0;;;1719.01;1;1
12;0.4;52.338;26.9;16.6994;39.9884;24.8;231;306.539;267.882;265;360;272;272;309.751;309.462;60;263.933;1;0;;;1717.36;1;1
13;0.4;52.4421;26.9;16.696;40.1939;24.8;226;306.496;267.86;265;360;272;272;309.607;309.462;60;263.947;1;0;;;1717.36;1;1
14;0.4;52.2367;26.9;16.5758;40.2922;24.8;223;306.409;267.86;265;360;272;272;309.607;309.607;60;263.959;1;0;;;1715.95;1;1
15;0.4;51.9329;26.9;16.425;39.8843;24.8;228;306.351;267.86;265;360;272;272;309.751;309.607;60;263.97;1;0;"KHP7025     ";;1715.95;1;1
16;0.4;51.8287;26.9;16.4282;39.9884;24.8;231;306.236;267.882;265;360;272;272;309.607;309.607;60;263.985;1;0;;;1715.4;1;1
17;0.4;51.8287;26.9;16.3377;40.0926;24.8;223;306.308;267.867;265;360;272;272;309.751;309.607;60;263.997;1;0;;;1714.3;1;1
18;0.4;51.6609;26.9;16.2487;39.9884;24.8;220;306.38;267.889;265;360;272;272;309.607;309.607;60;264.009;1;0;;;1713.67;1;1
19;0.4;52.0341;26.9;16.3297;40.0897;24.8;223;306.453;267.889;265;360;272;272;309.607;309.462;60;264.02;1;0;;;1712.45;1;1
20;0.4;51.8056;26.9;16.2218;40.1505;24.8;223;306.51;267.889;265;360;272;272;309.607;309.462;60;264.038;1;0;;;1710.8;1;1
21;0.4;51.4236;26.8;15.771;40.3935;24.8;223;306.467;267.896;265;360;272;272;309.607;309.462;60;264.057;1;0;;;1710.25;1;1
22;0.4;51.5249;26.8;15.7301;40.2112;24.8;214;307.219;267.911;265;360;272;272;309.607;309.462;60;264.07;1;0;;;1710.25;1;1
23;0.4;51.8316;26.8;15.7513;40.0203;24.8;205;307.133;267.911;265;360;272;272;309.462;309.462;60;264.085;1;0;;;1708.39;1;1
24;0.4;51.8316;26.8;15.7694;40.0897;24.8;201;307.046;267.954;265;360;272;272;309.607;309.462;60;264.099;1;0;;;1707.84;1;1
25;0.4;52.1354;26.8;15.8072;40.3935;24.8;196;307.06;268.33;265;360;272;272;309.607;309.462;60;264.118;1;0;;;1706.53;1;1
