Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandl‰nge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur auﬂen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandl‰nge auf Abhaspel
sec;mm;kW;∞C;∞C;∞C;mm;mbar;mbar;m/min;∞C;;m
0;0,32;0,5;273,785;274,371;273,84;355;0,434028;0,868056;0;271,302;;4143,76
1;0,32;0;273,698;274,374;273,84;355;0,564236;0,868056;0;271,301;;4143,76
2;0,32;0;273,698;274,371;273,84;355;0,484664;0,868056;0;271,301;;4143,76
3;0,32;0;274,031;274,378;273,84;355;0,477431;0,868056;0;271,301;;4143,76
4;0,32;0,5;274,081;274,334;273,84;355;0,455729;0,868056;0;271,301;;4143,76
5;0,32;1;274,219;274,117;273,84;355;0,535301;0,868056;0;271,302;;4143,76
6;0,32;14;274,248;274,081;273,84;355;0,5136;0,868056;0;271,288;;4143,76
7;0,32;44;274,219;274,067;273,84;355;0,441262;0,868056;0;271,28;;4143,76
8;0,32;65;274,089;274,031;273,84;355;0,5136;0,868056;0;271,283;;4143,76
9;0,32;64;273,741;274,06;273,84;355;0,462963;0,868056;0;271,281;;4143,76
10;0,32;55;273,553;274,146;273,84;355;0,499132;0,868056;0;271,28;;4143,76
11;0,32;55,5;273,618;274,175;273,84;355;0,434028;0,976562;0;271,282;;4143,76
12;0,32;57;274,002;274,02;273,84;355;0,578704;1,01273;0;271,284;;4143,76
13;0,32;56,5;273,734;274,183;273,84;355;0,5136;1,01273;0;271,285;;4143,76
14;0,32;52,5;273,712;274,186;273,84;355;0,5136;0,969329;0;271,288;;4143,76
15;0,32;55,5;273,633;274,215;273,84;355;0,448495;1,01273;0;271,291;;4143,76
16;0,32;82;274,255;274,222;273,84;355;0,434028;0,889757;0;271,297;;4143,76
17;0,32;82,5;274,327;274,15;273,84;355;0,434028;0,868056;0;271,289;;4143,76
18;0,32;84;274,429;274,016;273,84;355;0,462963;0,868056;0;271,293;;4143,76
19;0,32;65,5;274,667;274,013;273,84;355;0,448495;0,868056;0;271,3;;4143,76
20;0,32;60,5;274,863;274,009;273,84;355;0,477431;0,868056;0;271,294;;4143,76
21;0,32;80;274,725;274,005;273,84;355;0,491898;0,868056;0;271,3;;4143,76
22;0,32;63;275,282;274,002;273,84;355;0,549769;0,868056;0;271,301;;4143,76
23;0,32;45,5;275,34;273,864;273,84;355;0,5136;0,868056;0;271,306;;4143,76
24;0,32;56,5;275,521;273,886;273,84;355;0,535301;0,868056;0;271,305;;4143,76
25;0,32;83,5;275,673;273,904;273,84;355;0,5136;0,868056;0;271,299;;4143,76
26;0,32;95,5;275,969;273,904;273,84;355;0,477431;0,868056;0;271,3;;4143,76
27;0,32;102,5;276,541;273,893;273,84;355;0,484664;0,868056;0;271,305;;4143,76
28;0,32;98;276,447;273,882;273,84;355;0,477431;0,868056;0;271,305;;4143,76
29;0,32;88;277,047;273,875;273,84;355;0,484664;0,868056;0;271,307;;4143,76
30;0,32;77;277,025;273,864;273,84;355;0,5136;0,868056;0;271,313;;4143,76
31;0,32;75,5;277,25;273,864;273,84;355;0,506366;0,868056;0;271,314;;4143,76
32;0,32;71,5;277,51;273,886;273,84;355;0,499132;0,824653;0;271,315;;4143,76
33;0,32;65,5;277,872;273,908;273,84;355;0,484664;0,889757;0;271,316;;4143,76
34;0,32;49,5;278,168;273,904;273,84;355;0,484664;0,889757;0;271,314;;4143,76
35;0,32;47;278,335;273,9;273,84;355;0,520833;0,868056;0;271,317;;4143,76
36;0,32;44;278,458;273,89;273,84;355;0,506366;0,868056;0;271,319;;4143,76
37;0,32;21;278,74;273,868;273,84;355;0,578704;0,868056;0;271,321;;4143,76
38;0,32;0;278,921;273,861;273,84;355;0,578704;0,868056;0;271,31;;4143,76
39;0,32;0;278,733;273,882;273,84;355;0,578704;0,925926;0;271,309;;4143,76
40;0,32;0;279,528;273,904;273,84;355;0,622106;0,868056;0;271,308;;4143,76
41;0,32;0;279,615;273,897;273,84;355;0,578704;0,868056;0;271,308;;4143,76
42;0,32;0;279,63;273,879;273,84;355;0,622106;0,868056;0;271,308;;4143,76
43;0,32;0;279,528;273,861;273,84;355;0,578704;0,868056;0;271,31;;4143,76
44;0,32;0;279,702;273,886;273,84;355;0,578704;0,868056;0;271,309;;4143,76
45;0,32;0,5;280,085;273,973;273,84;355;0,578704;0,868056;0;271,309;;4143,76
46;0,32;0;280,107;274,02;273,84;355;0,578704;0,868056;0;271,311;;4143,76
47;0,32;0;280,129;274,002;273,84;355;0,578704;0,868056;0;271,318;;4143,76
48;0,32;0;280,158;274,114;273,84;355;0,578704;0,868056;0;271,327;;4143,76
49;0,32;0,5;279,63;274,244;273,84;355;0,578704;0,868056;0;271,335;;4143,76
50;0,32;0;279,579;274,269;273,84;355;0,578704;0,868056;0;271,342;;4143,76
51;0,32;0;279,456;274,251;273,84;355;0,578704;0,868056;0;271,349;;4143,76
52;0,32;0;279,391;274,226;273,84;355;0,578704;0,824653;0;271,355;;4143,76
53;0,32;0;279,442;274,197;273,84;355;0,578704;0,868056;0;271,36;;4143,76
54;0,32;0;279,536;274,161;273,84;355;0,578704;0,868056;0;271,364;;4143,76
55;0,32;0;279,63;274,154;273,84;355;0,578704;0,868056;0;271,368;;4143,76
56;0,32;0;279,608;274,436;273,84;355;0,578704;0,868056;0;271,372;;4143,76
57;0,32;0;279,369;274,432;273,84;355;0,578704;0,868056;0;271,375;;4143,76
58;0,32;0;279,159;274,396;273,84;355;0,578704;0,868056;0;271,378;;4143,76
59;0,32;0;279,167;274,36;273,84;355;0,578704;0,868056;0;271,38;;4143,76
60;0,32;0;278,964;274,367;273,84;355;0,578704;0,868056;0;271,382;;4143,76
61;0,32;0;279,232;274,432;273,84;355;0,578704;0,868056;0;271,384;;4143,76
62;0,32;0;278,928;274,418;273,84;355;0,578704;0,868056;0;271,386;;4143,76
63;0,32;0;278,588;274,389;273,84;355;0,578704;0,868056;0;271,387;;4143,76
64;0,32;0;278,581;274,389;273,84;355;0,578704;0,868056;0;271,389;;4143,76
65;0,32;0;278,487;274,588;273,84;355;0,578704;0,868056;0;271,39;;4143,76
66;0,32;0;278,356;274,794;273,84;355;0,578704;0,868056;0;271,391;;4143,76
67;0,32;0;278,342;274,805;273,84;355;0,578704;0,868056;0;271,395;;4143,76
68;0,32;0;278,451;274,653;273,84;355;0,578704;0,868056;0;271,405;;4143,76
69;0,32;0;278,328;274,761;273,84;355;0,578704;0,868056;0;271,413;;4143,76
70;0,32;0;278,125;274,624;273,84;355;0,578704;0,868056;0;271,421;;4143,76
71;0,32;0,5;278,009;274,497;273,84;355;0,578704;0,868056;0;271,43;;4143,76
72;0,32;0;277,792;274,573;273,84;355;0,578704;0,868056;0;271,439;;4143,76
73;0,32;0;277,619;274,707;273,84;355;0,578704;0,868056;0;271,446;;4143,76
74;0,32;0;277,445;274,721;273,84;355;0,578704;0,868056;0;271,452;;4143,76
75;0,32;0;277,351;274,714;273,84;355;0,578704;0,868056;0;271,458;;4143,76
76;0,32;0;277,438;274,721;273,84;355;0,578704;0,868056;0;271,463;;4143,76
77;0,32;0;277,539;274,888;273,84;355;0,578704;0,868056;0;271,468;;4143,76
78;0,32;0;277,568;274,892;273,84;355;0,578704;0,868056;0;271,472;;4143,76
79;0,32;0,5;277,351;274,92;273,84;355;0,578704;0,868056;0;271,475;;4143,76
80;0,32;0;277,3;274,91;273,84;355;0,578704;0,868056;0;271,478;;4143,76
81;0,32;0;277,098;274,899;273,84;355;0,578704;0,868056;0;271,481;;4143,76
82;0,32;0;277,134;274,888;273,84;355;0,578704;0,868056;0;271,484;;4143,76
83;0,32;0;277,177;274,906;273,84;355;0,578704;0,868056;0;271,486;;4143,76
84;0,32;0;277,163;274,928;273,84;355;0,578704;0,868056;0;271,488;;4143,76
85;0,32;0;277,069;274,917;273,84;355;0,578704;0,868056;0;271,489;;4143,76
86;0,32;0;276,787;274,906;273,84;355;0,578704;0,868056;0;271,491;;4143,76
87;0,32;0;276,454;274,895;273,84;355;0,578704;0,868056;0;271,492;;4143,76
88;0,32;0;276,345;274,899;273,84;355;0,578704;0,868056;0;271,494;;4143,76
89;0,32;0;276,432;274,928;273,84;355;0,578704;0,868056;0;271,495;;4143,76
90;0,32;0;276,483;274,92;273,84;355;0,578704;0,868056;0;271,495;;4143,76
91;0,32;0;276,555;274,906;273,84;355;0,578704;0,868056;0;271,496;;4143,76
92;0,32;0;276,497;274,895;273,84;355;0,578704;0,868056;0;271,497;;4143,76
93;0,32;0;276,36;274,888;273,84;355;0,578704;0,868056;0;271,497;;4143,76
94;0,32;0;276,02;274,917;273,84;355;0,578704;0,868056;0;271,498;;4143,76
95;0,32;0;276,1;274,924;273,84;355;0,578704;0,868056;0;271,499;;4143,76
96;0,32;0;276,165;274,91;273,84;355;0,593171;0,868056;0;271,5;;4143,76
97;0,32;0,5;276,179;274,902;273,84;355;0,607639;0,868056;0;271,5;;4143,76
98;0,32;0;276,244;274,891;273,84;355;0,614873;0,868056;0;271,5;;4143,76
99;0,32;0;276,056;274,902;273,84;355;0,593171;0,868056;0;271,496;;4143,76
100;0,32;0;275,977;274,924;273,84;355;0,578704;0,868056;0;271,487;;4143,76
101;0,32;0;276,049;274,92;273,84;355;0,578704;0,868056;0;271,479;;4143,76
102;0,32;0;275,839;274,906;273,84;355;0,614873;0,868056;0;271,47;;4143,76
103;0,32;0;275,34;274,895;273,84;355;0,578704;0,868056;0;271,462;;4143,76
104;0,32;0;275,412;274,891;273,84;355;0,578704;0,868056;0;271,455;;4143,76
105;0,32;0;275,499;274,928;273,84;355;0,578704;0,868056;0;271,448;;4143,76
106;0,32;0;275,499;274,92;273,84;355;0,578704;0,868056;0;271,443;;4143,76
107;0,32;0;275,376;274,91;273,84;355;0,578704;0,868056;0;271,438;;4143,76
108;0,32;0;275,268;274,895;273,84;355;0,578704;0,868056;0;271,433;;4143,76
109;0,32;0;275,297;274,891;273,84;355;0,578704;0,868056;0;271,43;;4143,76
110;0,32;0;275,405;274,924;273,84;355;0,578704;0,868056;0;271,426;;4143,76
111;0,32;0;275,499;274,703;273,84;355;0,578704;0,868056;0;271,423;;4143,76
112;0,32;0;275,514;274,765;273,84;355;0,578704;0,868056;0;271,42;;4143,76
113;0,32;0,5;275,282;274,732;273,84;355;0,578704;0,868056;0;271,418;;4143,76
114;0,32;0;275,08;274,732;273,84;355;0,578704;0,868056;0;271,416;;4143,76
115;0,32;0;274,754;274,678;273,84;355;0,578704;0,969329;0;271,414;;4143,76
116;0,32;0;274,508;274,682;273,84;355;0,622106;1,01273;0;271,412;;4143,76
117;0,32;0;274,58;274,714;273,84;355;0,578704;1,01273;0;271,411;;4143,76
118;0,32;0;274,631;274,703;273,84;355;0,578704;0,925926;0;271,41;;4143,76
119;0,32;0;274,696;274,711;273,84;355;0,578704;0,925926;0;271,408;;4143,76
120;0,32;0,5;274,776;274,721;273,84;355;0,578704;0,954861;0;271,407;;4143,76
121;0,32;0;274,812;274,743;273,84;355;0,535301;0,868056;0;271,407;;4143,76
122;0,32;0;274,812;274,653;273,84;355;0,477431;0,868056;0;271,406;;4143,76
123;0,32;0;274,718;274,664;273,84;355;0,455729;0,868056;0;271,405;;4143,76
124;0,32;0;274,674;274,664;273,84;355;0,578704;0,868056;0;271,404;;4143,76
125;0,32;0;274,508;274,533;273,84;355;0,578704;0,868056;0;271,401;;4143,76
126;0,32;0;274,414;274,537;273,84;355;0,578704;0,868056;0;271,398;;4143,76
127;0,32;0;274,494;274,552;273,84;355;0,578704;0,868056;0;271,393;;4143,76
128;0,32;0;274,457;274,49;273,84;355;0,578704;0,868056;0;271,386;;4143,76
129;0,32;0;274,306;274,421;273,84;355;0,578704;0,868056;0;271,379;;4143,76
130;0,32;0;274,255;274,41;273,84;355;0,578704;0,868056;0;271,37;;4143,76
131;0,32;0;274,342;274,392;273,84;355;0,578704;0,868056;0;271,365;;4143,76
132;0,32;0;274,421;274,385;273,84;355;0,578704;0,868056;0;271,358;;4143,76
133;0,32;0;274,479;274,371;273,84;355;0,578704;0,868056;0;271,352;;4143,76
134;0,32;0;274,436;274,403;273,84;355;0,578704;0,868056;0;271,346;;4143,76
135;0,32;0;274,269;274,396;273,84;355;0,578704;0,868056;0;271,341;;4143,76
136;0,32;0;274,269;274,385;273,84;355;0,578704;0,868056;0;271,336;;4143,76
137;0,32;0;274,356;274,378;273,84;355;0,578704;0,868056;0;271,332;;4143,76
138;0,32;0;274,436;274,371;273,84;355;0,578704;0,868056;0;271,329;;4143,76
139;0,32;0;274,486;274,389;273,84;355;0,578704;0,868056;0;271,326;;4143,76
140;0,32;0;274,139;274,414;273,84;355;0,578704;0,868056;0;271,323;;4143,76
141;0,32;0;273,727;274,414;273,84;355;0,578704;0,868056;0;271,321;;4143,76
142;0,32;0;273,568;274,403;273,84;355;0,578704;0,868056;0;271,318;;4143,76
143;0,32;0;274,023;274,363;273,84;355;0,578704;0,868056;0;271,316;;4143,76
144;0,32;0;273,777;274,367;273,84;355;0,578704;0,868056;0;271,315;;4143,76
145;0,32;0;273,546;274,374;273,84;355;0,578704;0,868056;0;271,314;;4143,76
146;0,32;0;274,074;274,193;273,84;355;0,578704;0,868056;0;271,313;;4143,76
147;0,32;1;274,11;274,031;273,84;355;0,578704;0,868056;0;271,313;;4143,76
148;0,32;7,5;274,06;274,013;273,84;355;0,578704;0,868056;0;271,288;;4143,76
149;0,32;34,5;273,973;274,193;273,84;355;0,578704;0,868056;0;271,286;;4143,76
150;0,32;80,5;273,835;273,987;273,84;355;0,578704;0,868056;0;271,283;;4143,76
151;0,32;95,5;273,72;273,987;273,84;355;0,578704;0,868056;0;271,281;;4143,76
152;0,32;73;273,655;273,987;273,84;355;0,578704;0,93316;0;271,284;;4143,76
153;0,32;49;273,727;274,005;273,84;355;0,578704;0,983796;0;271,286;;4143,76
154;0,32;39,5;273,944;274,244;273,84;355;0,578704;0,954861;0;271,289;;4143,76
155;0,32;42;273,98;274,121;273,84;355;0,578704;1,01273;0;271,294;;4143,76
156;0,32;51,5;274,038;274,107;273,84;355;0,578704;1,01273;0;271,292;;4143,76
157;0,32;52,5;274,457;274,052;273,84;355;0,578704;1,01273;0;271,293;;4143,76
158;0,32;47,5;274,342;274,078;273,84;355;0,578704;1,01273;0;271,293;;4143,76
159;0,32;46;274,262;274,117;273,84;355;0,578704;0,925926;0;271,291;;4143,76
160;0,32;44,5;274,45;274,161;273,84;355;0,578704;0,868056;0;271,291;;4143,76
161;0,32;50,5;275,195;274,154;273,84;355;0,578704;0,868056;0;271,295;;4143,76
162;0,32;56,5;275,239;274,121;273,84;355;0,578704;0,868056;0;271,289;;4143,76
163;0,32;48;275,289;274,085;273,84;355;0,578704;0,868056;0;271,301;;4143,76
164;0,32;56,5;275,47;273,973;273,84;355;0,622106;0,868056;0;271,302;;4143,76
165;0,32;57,5;275,376;273,868;273,84;355;0,578704;0,868056;0;271,3;;4143,76
166;0,32;74,5;275,318;273,864;273,84;355;0,578704;0,868056;0;271,291;;4143,76
167;0,32;97;275,492;273,886;273,84;355;0,578704;0,868056;0;271,284;;4143,76
168;0,32;102,5;275,875;273,908;273,84;355;0,578704;0,868056;0;271,286;;4143,76
169;0,32;101,5;275,76;273,897;273,84;355;0,578704;0,868056;0;271,291;;4143,76
170;0,32;102;276,15;273,89;273,84;355;0,578704;0,868056;0;271,291;;4143,76
171;0,32;99,5;276,447;273,875;273,84;355;0,578704;0,868056;0;271,295;;4143,76
172;0,32;85,5;276,36;273,864;273,84;355;0,578704;0,868056;0;271,296;;4143,76
173;0,32;78;276,895;273,864;273,84;355;0,578704;0,868056;0;271,298;;4143,76
174;0,32;71,5;277,235;273,893;273,84;355;0,578704;0,868056;0;271,292;;4143,76
175;0,32;58,5;277,561;273,904;273,84;355;0,578704;0,868056;0;271,29;;4143,76
176;0,32;50,5;277,836;273,893;273,84;355;0,578704;0,824653;0;271,286;;4143,76
177;0,32;47;277,995;273,882;273,84;355;0,578704;0,868056;0;271,285;;4143,76
178;0,32;40;277,901;273,875;273,84;355;0,578704;0,868056;0;271,291;;4143,76
179;0,32;27,5;278,378;273,864;273,84;355;0,578704;0,868056;0;271,292;;4143,76
180;0,32;26;278,364;273,861;273,84;355;0,578704;0,868056;0;271,296;;4143,76
181;0,32;25,5;278,776;273,864;273,84;355;0,578704;0,868056;0;271,386;;4143,76
182;0,32;1,5;279,065;273,882;273,84;355;0,578704;0,868056;0;271,73;;4143,76
183;0,32;0;279,152;273,908;273,84;355;0,578704;0,868056;0;271,682;;4143,76
184;0,32;0;279,536;273,897;273,84;355;0,578704;0,868056;0;271,638;;4143,76
185;0,32;0;279,55;273,882;273,84;355;0,622106;0,868056;0;271,6;;4143,76
186;0,32;0;279,413;273,875;273,84;355;0,578704;0,868056;0;271,565;;4143,76
187;0,32;0;279,391;273,864;273,84;355;0,578704;0,868056;0;271,535;;4143,76
188;0,32;0;279,449;273,872;273,84;355;0,578704;0,868056;0;271,509;;4143,76
189;0,32;0;279,55;273,904;273,84;355;0,578704;0,868056;0;271,485;;4143,76
190;0,32;0;279,615;273,955;273,84;355;0,578704;0,868056;0;271,464;;4143,76
191;0,32;0;279,63;273,998;273,84;355;0,578704;0,868056;0;271,446;;4143,76
192;0,32;0;279,601;273,984;273,84;355;0,578704;0,868056;0;271,429;;4143,76
193;0,32;0;279,427;274,114;273,84;355;0,578704;0,868056;0;271,415;;4143,76
194;0,32;0;279,405;274,266;273,84;355;0,578704;0,868056;0;271,402;;4143,76
195;0,32;0;279,47;274,259;273,84;355;0,578704;0,868056;0;271,39;;4143,76
196;0,32;0;279,543;274,24;273,84;355;0,578704;0,868056;0;271,38;;4143,76
