Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandlänge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel
sec;mm;kW;°C;°C;°C;mm;mbar;mbar;m/min;°C;;m
13;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;"(( Pi() / ([11:7] * 0.001)) * (Pow(0.5 * [3:10], 2) - Pow(0.5 * 0.48, 2))) / [32:124]";nan
14;0,5;0;273,785;270,262;270,1;340;0,289352;0,289352;0;271,041;;1610,91
15;0,5;0;273,698;270,284;270,1;340;0,289352;0,289352;0;271,047;;1610,91
16;0,5;2;273,683;270,327;270,1;340;0,289352;0,289352;0;271,071;;1610,91
17;0,5;3;273,698;270,312;270,1;340;0,289352;0,289352;0;271,082;;1610,91
18;0,5;7;273,799;270,298;270,1;340;0,289352;0,289352;0;271,087;;1610,91
19;0,5;10;273,38;270,276;270,1;340;0,289352;0,289352;0;271,086;;1610,91
20;0,5;13;273,452;270,269;270,1;340;0,289352;0,289352;0;271,087;;1610,91
21;0,5;16;273,481;270,255;270,1;340;0,434028;0,289352;0;271,083;;1610,91
22;0,5;23;273,394;270,276;270,1;340;0,289352;0,289352;0;271,088;;1610,91
23;0,5;30;273,264;270,32;270,1;340;0,289352;0,289352;0;271,095;;1610,91
24;0,5;30;273,249;270,32;270,1;340;0,289352;0,289352;0;271,104;;1610,91
25;0,5;28;273,293;270,312;270,1;340;0,289352;0,289352;0;271,109;;1610,91
26;0,5;26;273,336;270,284;270,1;340;0,434028;0,289352;0;271,113;;1610,91
27;0,5;26;273,423;270,276;270,1;340;0,289352;0,289352;0;271,123;;1610,91
28;0,5;23;273,438;270,269;270,1;340;0,434028;0,289352;0;271,131;;1610,91
29;0,5;23;273,322;270,284;270,1;340;0,289352;0,289352;0;271,138;;1610,91
30;0,5;26;273,206;270,334;270,1;340;0,434028;0,289352;0;271,14;;1610,91
31;0,5;26;273,249;270,327;270,1;340;0,289352;0,289352;0;271,144;;1610,91
32;0,5;25;273,336;270,312;270,1;340;0,289352;0,289352;0;271,15;;1610,91
33;0,5;25;273,394;270,298;270,1;340;0,289352;0,289352;0;271,155;;1610,91
34;0,5;26;273,452;270,566;270,1;340;0,289352;0,289352;0;271,16;;1610,91
35;0,5;0;273,423;270,624;270,1;340;0,289352;0,289352;0;271,185;;1610,91
36;0,5;0;273,293;270,609;270,1;340;0,434028;0,289352;0;271,186;;1610,91
37;0,5;0;273,22;270,573;270,1;340;0,289352;0,289352;0;271,187;;1610,91
38;0,5;0;273,293;270,624;270,1;340;0,434028;0,289352;0;271,189;;1610,91
39;0,5;0;273,336;270,696;270,1;340;0,289352;0,289352;0;271,19;;1610,91
40;0,5;0;273,438;270,58;270,1;340;0,289352;0,289352;0;271,19;;1610,91
41;0,5;0;273,438;270,551;270,1;340;0,289352;0,289352;0;271,191;;1610,91
42;0,5;0;273,351;270,501;270,1;340;0,289352;0,289352;0;271,192;;1610,91
43;0,5;0;273,235;270,464;270,1;340;0,289352;0,289352;0;271,192;;1610,91
44;0,5;0;273,278;270,667;270,1;340;0,289352;0,289352;0;271,193;;1610,91
45;0,5;0;272,714;270,428;270,1;340;0,289352;0,289352;0;271,194;;1610,91
46;0,5;0;272,729;270,71;270,1;340;0,289352;0,289352;0;271,198;;1610,91
47;0,5;0;272,786;270,732;270,1;340;0,289352;0,289352;0;271,198;;1610,91
48;0,5;0;272,815;270,508;270,1;340;0,289352;0,289352;0;271,207;;1610,91
49;0,5;0;272,801;270,522;270,1;340;0,289352;0,289352;0;271,206;;1610,91
50;0,5;0;272,685;270,486;270,1;340;0,289352;0,289352;0;271,228;;1610,91
51;0,5;5;272,541;270,493;270,1;340;0,289352;0,289352;0;271,243;;1610,91
52;0,5;0;272,512;270,479;270,1;340;0,289352;0,289352;0;271,246;;1610,91
