Zeitstempel;Bandgeschwindigkeit_m_min;Bandbreite_mm;Banddicke_mm;Ofenleistung_Prozent;Solltemperatur_Betrieb_C;Solltemperatur_Stillstand_C;IstTemperatur_C;LuftmesserOS_mbar;LuftmesserUS_mbar;Wasserkuehlung_W;TemperaturUnterRolle_C;LegierungsNr;ZustandBandlauf;BandlaengeImOfen_m
15.01.2024 06:00:00;0,0;900;0,5;45,0;270,0;265,0;264,43;0;0;0;35,0;0;0;0,0
15.01.2024 06:00:30;0,0;900;0,5;45,0;270,0;265,0;264,56;0;0;0;35,0;0;0;0,0
15.01.2024 06:01:00;0,0;900;0,5;44,9;270,0;265,0;265,71;0;0;0;35,0;0;0;0,0
15.01.2024 06:01:30;0,0;900;0,5;44,7;270,0;265,0;265,91;0;0;0;35,0;0;0;0,0
15.01.2024 06:02:00;0,0;900;0,5;44,9;270,0;265,0;266,56;0;0;0;35,0;0;0;0,0
15.01.2024 06:02:30;0,0;900;0,5;44,8;270,0;265,0;267,0;0;0;0;35,0;0;0;0,0
15.01.2024 06:03:00;0,0;900;0,5;44,9;270,0;265,0;267,61;0;0;0;35,0;0;0;0,0
15.01.2024 06:03:30;0,0;900;0,5;44,9;270,0;265,0;267,53;0;0;0;35,0;0;0;0,0
15.01.2024 06:04:00;0,0;900;0,5;44,9;270,0;265,0;269,11;0;0;0;35,0;0;0;0,0
15.01.2024 06:04:30;0,0;900;0,5;44,9;270,0;265,0;269,34;0;0;0;35,0;0;0;0,0
15.01.2024 06:05:00;0,0;900;0,5;45,0;270,0;265,0;270,12;0;0;0;35,0;0;0;0,0
15.01.2024 06:05:30;0,0;900;0,5;44,9;270,0;265,0;270,89;0;0;0;35,0;0;0;0,0
15.01.2024 06:06:00;0,0;900;0,5;44,8;270,0;265,0;270,82;0;0;0;35,0;0;0;0,0
15.01.2024 06:06:30;0,0;900;0,5;44,7;270,0;265,0;270,79;0;0;0;35,0;0;0;0,0
15.01.2024 06:07:00;0,0;900;0,5;44,6;270,0;265,0;271,58;0;0;0;35,0;0;0;0,0
15.01.2024 06:07:30;0,0;900;0,5;44,7;270,0;265,0;271,99;0;0;0;35,0;0;0;0,0
15.01.2024 06:08:00;0,0;900;0,5;44,8;270,0;265,0;272,72;0;0;0;35,0;0;0;0,0
15.01.2024 06:08:30;0,0;900;0,5;44,7;270,0;265,0;273,4;0;0;0;35,0;0;0;0,0
15.01.2024 06:09:00;0,0;900;0,5;44,6;270,0;265,0;273,27;0;0;0;35,0;0;0;0,0
15.01.2024 06:09:30;0,0;900;0,5;44,5;270,0;265,0;274,48;0;0;0;35,0;0;0;0,0
15.01.2024 06:10:00;0,0;900;0,5;44,6;270,0;265,0;274,43;0;0;0;35,0;0;0;0,0
15.01.2024 06:10:30;0,0;900;0,5;44,4;270,0;265,0;275,47;0;0;0;35,0;0;0;0,0
15.01.2024 06:11:00;0,0;900;0,5;44,5;270,0;265,0;275,84;0;0;0;35,0;0;0;0,0
15.01.2024 06:11:30;0,0;900;0,5;44,4;270,0;265,0;276,27;0;0;0;35,0;0;0;0,0
